plant.name,plant.phenotypes.height,model.name,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.number,model.nozzles.type,model.nozzles.number,model.positioning_mode,model.swath_width.min,model.swath_width.max,model.water_pump.type,experiment.name,experiment.weather.temperature,experiment.weather.humidity,experiment.weather.velocity,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.flow_rate,experiment.results.coverage.value,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.CV
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T5,13.085,30.906,3.098,2.449,4.248,15.0,2.025,5.576,49.898,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T5,13.539,30.592,3.145,2.34,4.296,15.0,2.025,5.466,50.267,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T5,13.399,31.227,3.095,2.565,4.345,15.0,2.025,5.411,50.352,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T6,13.6,31.0,2.8,2.5,4.5,18.3,2.475,4.8,28.5,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T6,13.333,30.314,2.671,2.388,4.668,18.3,2.475,4.778,28.774,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T6,13.147,31.799,2.824,2.627,4.629,18.3,2.475,4.786,28.938,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T6,14.122,30.493,2.628,2.284,4.571,18.3,2.475,4.893,28.363,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T6,13.241,30.446,2.947,2.65,4.476,18.3,2.475,4.854,28.261,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T7,17.4,40.5,2.7,2.5,3.5,19.4,2.025,6.5,54.3,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T7,17.599,41.24,2.732,2.365,3.488,19.4,2.025,6.467,54.745,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T7,17.621,39.745,2.846,2.487,3.481,19.4,2.025,6.548,53.092,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T7,16.869,40.644,2.554,2.363,3.408,19.4,2.025,6.565,54.901,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T7,17.581,40.531,2.654,2.465,3.758,19.4,2.025,6.521,54.745,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T8,13.6,31.0,3.0,2.5,4.5,15.0,2.025,5.5,49.5,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T8,13.58,29.655,3.016,2.391,4.674,15.0,2.025,5.477,49.311,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T8,13.546,31.634,2.933,2.379,4.205,15.0,2.025,5.406,48.767,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T8,13.9,31.63,2.947,2.474,4.204,15.0,2.025,5.601,48.852,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T8,13.727,30.262,3.116,2.431,4.549,15.0,2.025,5.508,49.636,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T9,12.9,32.0,2.9,2.5,5.5,12.3,2.025,2.1,49.4,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T9,12.588,31.71,2.771,2.745,5.581,12.3,2.025,2.07,48.738,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T9,12.801,31.12,3.028,2.416,5.71,12.3,2.025,2.069,48.782,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T9,12.858,32.478,2.853,2.551,5.799,12.3,2.025,2.077,50.088,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T9,13.128,32.387,2.861,2.616,5.614,12.3,2.025,2.11,49.004,,
