plant.name,plant.cultivar,plant.genotype,plant.phenotypes.plagiotropic_node_number,plant.phenotypes.plagiotropic_node_distance,plant.phenotypes.orthotropic_branch_length,plant.phenotypes.orthotropic_branch_node_number,plant.phenotypes.height,plant.phenotypes.diameter,plant.phenotypes.leaf_area,model.name,model.tank_volume,model.rotors.number,model.nozzles.type,model.nozzles.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.results.coverage.value,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.6,67.4,JT5L-404,5,6,full cone,4,T2,25.0,30.0,55.0,80.0,0.5,2.5,3.0,4.0,10.0,9.5,30.1,328.0,341.0,4.0
coffee,enmcapa,A1,14.705,3.892,69.931,17.742,1.539,1.6,67.671,JT5L-404,5,6,full cone,4,T2,24.726,30.47,54.642,78.62,0.534,2.571,2.922,4.113,10.662,9.429,30.15,324.486,338.231,3.944
coffee,enmcapa,A1,14.647,3.9,70.765,17.723,1.55,1.6,67.022,JT5L-404,5,6,full cone,4,T2,25.449,31.04,55.238,79.771,0.5,2.597,3.166,3.947,9.988,9.432,30.346,328.005,336.313,3.98
coffee,enmcapa,A1,14.585,3.899,70.664,17.757,1.536,1.6,66.934,JT5L-404,5,6,full cone,4,T2,25.242,29.192,54.471,77.609,0.504,2.462,2.791,4.006,10.204,9.456,29.764,323.595,346.668,4.031
coffee,enmcapa,A1,14.712,3.883,70.148,17.634,1.537,1.6,67.694,JT5L-404,5,6,full cone,4,T2,25.071,30.397,55.946,80.488,0.504,2.595,3.126,4.173,10.218,9.639,29.554,328.56,336.892,3.943
coffee,enmcapa,A1,14.656,3.872,70.16,17.805,1.536,1.6,67.088,JT5L-404,5,6,full cone,4,T2,24.501,29.228,55.978,80.009,0.536,2.524,3.028,4.11,10.55,9.509,29.67,324.663,332.202,4.062
coffee,enmcapa,A1,14.676,3.905,70.771,17.626,1.541,1.6,67.695,JT5L-404,5,6,full cone,4,T2,24.551,30.359,54.262,83.535,0.48,2.432,2.797,4.027,10.891,9.379,30.132,320.994,333.02,4.091
coffee,enmcapa,A1,14.694,3.901,70.349,17.578,1.529,1.6,67.859,JT5L-404,5,6,full cone,4,T2,24.566,28.692,55.833,82.502,0.513,2.559,3.227,3.948,10.088,9.436,29.905,323.166,347.232,3.949
coffee,enmcapa,A1,14.632,3.908,70.589,17.648,1.54,1.6,67.166,JT5L-404,5,6,full cone,4,T2,24.78,30.64,54.301,81.694,0.487,2.611,3.047,3.723,9.978,9.56,30.151,321.765,340.881,4.041
coffee,enmcapa,A1,14.715,3.876,70.535,17.694,1.528,1.6,66.98,JT5L-404,5,6,full cone,4,T2,24.585,29.235,56.389,77.314,0.495,2.36,2.906,3.803,9.659,9.313,30.809,323.076,339.935,3.922
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.6,67.4,JT5L-404,5,6,full cone,4,T3,25.0,30.0,55.0,80.0,0.5,2.5,4.0,4.0,10.0,8.1,30.1,314.0,341.0,8.7
coffee,enmcapa,A1,14.616,3.921,69.938,17.532,1.531,1.6,67.749,JT5L-404,5,6,full cone,4,T3,25.882,29.324,54.389,81.748,0.507,2.408,3.824,3.805,10.335,8.231,29.732,316.709,343.559,8.604
coffee,enmcapa,A1,14.675,3.872,70.203,17.525,1.546,1.6,67.612,JT5L-404,5,6,full cone,4,T3,25.27,28.698,53.256,82.417,0.479,2.486,4.191,4.112,9.505,7.986,29.795,313.431,335.494,8.705
coffee,enmcapa,A1,14.656,3.876,70.766,17.726,1.544,1.6,67.77,JT5L-404,5,6,full cone,4,T3,24.746,31.143,54.914,82.587,0.512,2.423,4.123,3.828,10.621,8.108,30.418,309.208,339.408,8.808
coffee,enmcapa,A1,14.703,3.876,70.912,17.707,1.546,1.6,67.055,JT5L-404,5,6,full cone,4,T3,24.652,29.333,56.819,80.885,0.488,2.381,3.964,4.086,9.79,8.16,30.162,311.687,340.302,8.611
coffee,enmcapa,A1,14.574,3.888,70.551,17.728,1.553,1.6,67.03,JT5L-404,5,6,full cone,4,T3,25.426,29.771,54.233,80.251,0.495,2.457,4.212,3.81,9.244,8.029,30.606,316.818,339.033,8.85
coffee,enmcapa,A1,14.724,3.91,70.424,17.598,1.544,1.6,67.519,JT5L-404,5,6,full cone,4,T3,25.485,31.055,54.792,82.178,0.51,2.335,3.84,3.834,9.756,8.047,30.534,306.517,345.474,8.547
coffee,enmcapa,A1,14.66,3.858,69.858,17.662,1.548,1.6,67.201,JT5L-404,5,6,full cone,4,T3,24.061,29.334,55.484,79.043,0.484,2.355,3.651,3.765,9.902,8.119,29.883,316.622,342.454,8.673
coffee,enmcapa,A1,14.616,3.889,70.312,17.766,1.541,1.6,67.217,JT5L-404,5,6,full cone,4,T3,24.458,30.578,54.53,78.791,0.512,2.449,4.044,3.958,10.781,8.229,29.912,309.034,340.412,8.637
coffee,enmcapa,A1,14.596,3.866,70.553,17.695,1.545,1.6,67.328,JT5L-404,5,6,full cone,4,T3,24.324,29.11,55.38,77.703,0.491,2.652,3.934,4.256,9.791,8.178,29.662,310.138,344.044,8.763
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.4,1.53,60.2,JT5L-404,5,6,full cone,4,T4,25.0,30.0,55.0,80.0,0.5,2.5,2.0,4.0,10.0,7.3,30.1,329.0,362.0,10.0
coffee,tributum,LB1,17.225,3.851,72.779,19.683,1.395,1.53,60.425,JT5L-404,5,6,full cone,4,T4,24.851,30.6,56.246,78.654,0.471,2.56,1.926,3.763,9.56,7.254,30.481,321.335,358.212,9.961
coffee,tributum,LB1,17.422,3.843,73.119,19.716,1.389,1.53,60.021,JT5L-404,5,6,full cone,4,T4,24.029,30.054,53.501,79.29,0.522,2.668,1.841,3.806,10.487,7.177,29.997,335.979,366.556,9.853
coffee,tributum,LB1,17.263,3.876,72.344,19.68,1.392,1.53,59.833,JT5L-404,5,6,full cone,4,T4,25.636,30.329,53.062,81.503,0.467,2.331,1.987,3.777,9.346,7.447,29.674,329.138,363.408,10.012
coffee,tributum,LB1,17.3,3.882,72.883,19.721,1.412,1.53,60.305,JT5L-404,5,6,full cone,4,T4,24.901,28.893,54.889,79.234,0.528,2.362,2.141,4.113,9.108,7.241,30.594,334.146,365.419,9.901
coffee,tributum,LB1,17.452,3.878,73.453,19.72,1.398,1.53,60.249,JT5L-404,5,6,full cone,4,T4,24.263,31.034,56.752,78.291,0.502,2.608,2.072,3.781,10.465,7.131,29.911,327.771,362.04,10.118
coffee,tributum,LB1,17.328,3.872,72.854,19.714,1.395,1.53,60.253,JT5L-404,5,6,full cone,4,T4,25.119,30.351,52.979,81.55,0.5,2.561,2.077,4.247,9.534,7.325,30.129,332.901,361.152,10.089
coffee,tributum,LB1,17.211,3.856,72.52,19.73,1.396,1.53,59.844,JT5L-404,5,6,full cone,4,T4,24.649,30.707,54.236,78.896,0.484,2.537,1.92,3.991,9.434,7.369,30.436,330.248,357.91,10.175
coffee,tributum,LB1,17.207,3.843,72.761,19.587,1.39,1.53,60.193,JT5L-404,5,6,full cone,4,T4,25.382,28.806,52.834,79.949,0.491,2.389,1.866,4.235,10.432,7.243,30.702,335.05,362.879,10.138
coffee,tributum,LB1,17.362,3.862,72.286,19.612,1.401,1.53,60.181,JT5L-404,5,6,full cone,4,T4,24.707,30.658,54.087,78.892,0.491,2.474,2.038,3.89,9.957,7.214,30.115,333.522,362.906,9.997
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.4,1.53,60.2,JT5L-404,5,6,full cone,4,T5,25.0,30.0,55.0,80.0,0.5,2.5,3.0,4.0,10.0,7.0,30.1,337.0,353.0,4.9
coffee,tributum,LB1,17.214,3.855,73.221,19.689,1.394,1.53,59.907,JT5L-404,5,6,full cone,4,T5,24.418,30.287,53.878,81.343,0.514,2.548,2.885,4.025,9.618,6.876,29.704,333.584,351.332,4.935
coffee,tributum,LB1,17.218,3.865,72.408,19.547,1.389,1.53,60.443,JT5L-404,5,6,full cone,4,T5,25.22,29.404,53.018,79.471,0.455,2.352,2.923,3.816,9.651,7.014,30.448,331.05,353.768,4.831
coffee,tributum,LB1,17.395,3.851,73.336,19.664,1.396,1.53,60.523,JT5L-404,5,6,full cone,4,T5,24.587,30.51,55.793,78.862,0.536,2.523,3.084,4.317,10.444,6.998,30.403,342.145,351.956,4.792
coffee,tributum,LB1,17.349,3.871,72.587,19.74,1.409,1.53,60.281,JT5L-404,5,6,full cone,4,T5,24.812,30.43,55.76,82.12,0.523,2.563,3.042,4.123,10.414,7.099,30.542,338.572,354.256,4.883
coffee,tributum,LB1,17.333,3.879,72.871,19.569,1.407,1.53,60.086,JT5L-404,5,6,full cone,4,T5,24.46,29.967,54.877,80.37,0.541,2.662,3.068,4.189,10.016,6.939,30.167,343.273,360.296,4.823
coffee,tributum,LB1,17.323,3.873,72.798,19.633,1.409,1.53,59.925,JT5L-404,5,6,full cone,4,T5,24.716,29.815,55.82,80.941,0.48,2.332,3.209,3.629,9.521,7.006,30.669,334.477,345.905,4.896
coffee,tributum,LB1,17.364,3.877,73.278,19.588,1.402,1.53,60.035,JT5L-404,5,6,full cone,4,T5,23.864,28.717,56.007,76.801,0.483,2.628,3.124,3.819,10.104,7.138,29.965,335.635,346.712,4.803
coffee,tributum,LB1,17.226,3.871,72.853,19.75,1.392,1.53,60.063,JT5L-404,5,6,full cone,4,T5,25.213,30.032,54.864,78.165,0.511,2.419,2.815,4.02,9.707,6.963,29.846,340.192,356.171,4.828
coffee,tributum,LB1,17.45,3.851,72.342,19.51,1.401,1.53,59.944,JT5L-404,5,6,full cone,4,T5,25.753,29.762,55.714,79.679,0.514,2.536,3.132,3.869,9.527,6.938,30.337,339.85,352.828,4.904
coffee,tributum,LB1,17.33,3.86,72.83,19.66,1.4,1.53,60.2,JT5L-404,5,6,full cone,4,T6,25.0,30.0,55.0,80.0,0.5,2.5,4.0,4.0,10.0,6.9,30.1,327.0,360.0,10.0
coffee,tributum,LB1,17.379,3.856,73.013,19.657,1.392,1.53,59.694,JT5L-404,5,6,full cone,4,T6,24.285,29.675,53.409,81.799,0.525,2.489,4.033,3.764,10.002,6.899,29.484,332.278,363.956,10.048
coffee,tributum,LB1,17.349,3.851,73.116,19.762,1.401,1.53,60.172,JT5L-404,5,6,full cone,4,T6,24.748,30.476,56.426,78.0,0.523,2.316,4.298,4.297,9.886,6.981,30.524,324.064,362.234,10.049
coffee,tributum,LB1,17.347,3.86,72.655,19.717,1.396,1.53,60.153,JT5L-404,5,6,full cone,4,T6,24.485,29.671,56.449,78.755,0.487,2.493,4.214,4.163,9.439,6.816,30.29,332.517,352.777,10.041
coffee,tributum,LB1,17.201,3.848,73.015,19.787,1.395,1.53,60.476,JT5L-404,5,6,full cone,4,T6,24.932,31.22,52.575,78.728,0.497,2.397,3.878,3.985,9.589,6.862,30.075,326.359,367.655,9.922
coffee,tributum,LB1,17.406,3.883,72.697,19.509,1.408,1.53,60.639,JT5L-404,5,6,full cone,4,T6,24.784,31.013,55.273,81.178,0.536,2.645,3.819,4.11,9.554,6.844,30.754,324.706,356.122,10.103
coffee,tributum,LB1,17.334,3.842,72.304,19.653,1.41,1.53,60.533,JT5L-404,5,6,full cone,4,T6,25.371,29.221,57.271,77.83,0.46,2.466,4.329,3.902,10.07,7.01,29.373,328.159,351.355,9.97
coffee,tributum,LB1,17.273,3.86,72.796,19.635,1.397,1.53,60.736,JT5L-404,5,6,full cone,4,T6,25.299,30.238,56.55,78.318,0.478,2.618,4.128,3.83,10.531,6.996,30.507,327.227,351.869,10.063
coffee,tributum,LB1,17.34,3.85,72.688,19.782,1.398,1.53,59.905,JT5L-404,5,6,full cone,4,T6,24.766,29.411,53.646,77.854,0.51,2.378,3.886,3.679,9.572,6.986,30.69,323.221,360.801,10.025
coffee,tributum,LB1,17.348,3.875,72.774,19.592,1.405,1.53,60.461,JT5L-404,5,6,full cone,4,T6,24.975,30.45,55.2,79.833,0.532,2.352,4.079,3.793,9.598,6.963,30.074,333.658,363.599,10.045
coffee,tributum,P1,15.0,3.75,71.5,19.0,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T7,25.0,30.0,55.0,80.0,0.5,2.5,2.0,4.0,10.0,6.9,30.1,322.0,350.0,8.7
coffee,tributum,P1,14.967,3.766,71.463,18.929,1.56,1.71,63.484,JT5L-404,5,6,full cone,4,T7,24.972,28.676,54.443,79.498,0.483,2.358,1.905,4.108,9.462,6.907,29.72,317.882,351.361,8.819
coffee,tributum,P1,14.998,3.771,71.463,19.018,1.547,1.71,63.732,JT5L-404,5,6,full cone,4,T7,25.606,30.323,54.301,81.061,0.502,2.577,1.923,3.763,10.026,6.981,30.237,317.186,358.3,8.791
coffee,tributum,P1,14.941,3.741,71.567,18.92,1.558,1.71,63.302,JT5L-404,5,6,full cone,4,T7,25.151,30.303,53.555,77.93,0.493,2.262,1.915,3.969,10.59,7.076,30.419,324.342,353.515,8.887
coffee,tributum,P1,14.911,3.757,71.139,19.025,1.567,1.71,63.708,JT5L-404,5,6,full cone,4,T7,25.357,29.765,54.701,81.505,0.533,2.38,1.904,4.164,10.173,6.805,29.954,326.876,351.266,8.674
coffee,tributum,P1,14.983,3.743,71.236,18.898,1.557,1.71,63.659,JT5L-404,5,6,full cone,4,T7,25.198,29.539,54.464,80.645,0.472,2.504,2.118,4.078,9.165,6.915,29.733,317.487,353.428,8.616
coffee,tributum,P1,14.924,3.754,71.383,18.86,1.567,1.71,63.525,JT5L-404,5,6,full cone,4,T7,24.873,30.977,55.075,78.638,0.467,2.358,2.155,4.2,10.557,6.753,29.693,323.029,342.569,8.532
coffee,tributum,P1,15.045,3.76,71.247,19.032,1.56,1.71,63.338,JT5L-404,5,6,full cone,4,T7,25.993,29.271,56.242,80.454,0.494,2.5,2.124,3.982,9.415,6.939,30.016,321.061,352.644,8.476
coffee,tributum,P1,15.084,3.746,71.488,19.089,1.566,1.71,63.759,JT5L-404,5,6,full cone,4,T7,24.988,30.144,56.152,81.679,0.488,2.569,2.116,3.943,10.265,7.018,29.752,322.6,350.921,8.709
coffee,tributum,P1,14.994,3.742,71.126,19.064,1.563,1.71,63.693,JT5L-404,5,6,full cone,4,T7,24.386,30.177,54.044,78.183,0.499,2.381,1.835,4.189,10.482,6.836,30.035,319.984,348.717,8.778
coffee,tributum,P1,15.0,3.75,71.5,19.0,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T8,25.0,30.0,55.0,80.0,0.5,2.5,3.0,4.0,10.0,7.0,30.1,330.0,350.0,6.1
coffee,tributum,P1,14.931,3.723,71.524,18.861,1.565,1.71,63.618,JT5L-404,5,6,full cone,4,T8,25.189,29.375,56.533,81.638,0.503,2.401,3.014,3.931,9.855,6.819,29.758,332.773,352.076,6.238
coffee,tributum,P1,14.88,3.758,72.019,19.08,1.567,1.71,63.318,JT5L-404,5,6,full cone,4,T8,25.683,30.375,55.584,81.561,0.534,2.427,3.033,4.173,9.387,7.139,29.655,322.281,348.073,6.143
coffee,tributum,P1,15.011,3.772,71.679,19.026,1.552,1.71,63.793,JT5L-404,5,6,full cone,4,T8,24.816,29.237,54.782,79.837,0.519,2.702,3.2,4.124,9.89,6.831,30.471,326.841,356.36,6.073
coffee,tributum,P1,15.043,3.772,71.406,19.084,1.564,1.71,63.925,JT5L-404,5,6,full cone,4,T8,24.861,30.384,55.2,82.389,0.475,2.424,3.142,3.824,10.68,6.822,30.175,323.193,349.301,6.209
coffee,tributum,P1,14.919,3.731,71.924,19.045,1.551,1.71,63.875,JT5L-404,5,6,full cone,4,T8,25.445,30.294,54.846,82.218,0.469,2.422,2.982,4.181,9.914,7.027,30.496,334.554,348.344,6.161
coffee,tributum,P1,14.92,3.727,71.947,19.137,1.563,1.71,63.623,JT5L-404,5,6,full cone,4,T8,24.814,30.556,56.232,77.206,0.521,2.652,2.986,3.82,10.172,7.081,30.517,327.464,342.593,6.08
coffee,tributum,P1,15.027,3.749,71.681,18.907,1.551,1.71,63.173,JT5L-404,5,6,full cone,4,T8,25.189,30.488,55.875,78.564,0.51,2.635,2.908,4.194,9.495,6.96,29.644,329.339,340.191,6.218
coffee,tributum,P1,14.987,3.763,71.033,18.943,1.552,1.71,63.111,JT5L-404,5,6,full cone,4,T8,24.981,30.148,54.968,80.23,0.5,2.66,2.922,3.847,10.076,6.967,30.503,328.253,344.445,6.139
coffee,tributum,P1,15.074,3.757,71.408,18.875,1.551,1.71,63.475,JT5L-404,5,6,full cone,4,T8,24.666,30.802,54.658,78.263,0.485,2.703,3.192,4.166,9.57,7.104,30.098,332.861,350.311,6.067
coffee,tributum,P1,15.0,3.75,71.5,19.0,1.56,1.71,63.6,JT5L-404,5,6,full cone,4,T9,25.0,30.0,55.0,80.0,0.5,2.5,4.0,4.0,10.0,6.7,30.1,330.0,367.0,11.2
coffee,tributum,P1,14.979,3.744,71.333,19.0,1.55,1.71,63.522,JT5L-404,5,6,full cone,4,T9,25.546,29.595,56.503,81.015,0.506,2.548,4.057,3.712,10.282,6.698,29.518,330.927,366.767,11.348
coffee,tributum,P1,15.002,3.782,71.552,19.039,1.562,1.71,64.048,JT5L-404,5,6,full cone,4,T9,25.509,29.916,55.854,80.748,0.508,2.501,3.965,4.011,10.239,6.868,30.496,327.996,374.479,11.119
coffee,tributum,P1,14.976,3.76,71.519,18.998,1.552,1.71,63.594,JT5L-404,5,6,full cone,4,T9,25.515,30.488,53.405,80.21,0.477,2.613,3.872,4.214,9.944,6.648,30.286,326.14,373.1,11.157
coffee,tributum,P1,15.029,3.729,72.042,19.074,1.567,1.71,63.575,JT5L-404,5,6,full cone,4,T9,25.656,30.656,56.599,79.018,0.508,2.34,4.251,4.233,10.747,6.748,30.129,326.327,371.633,11.075
coffee,tributum,P1,15.059,3.722,71.572,18.865,1.555,1.71,63.668,JT5L-404,5,6,full cone,4,T9,24.437,30.418,53.508,83.007,0.46,2.502,3.996,3.863,10.691,6.714,30.162,327.162,362.378,11.045
coffee,tributum,P1,15.044,3.749,71.471,18.909,1.562,1.71,63.397,JT5L-404,5,6,full cone,4,T9,24.717,30.034,56.137,76.497,0.471,2.669,4.086,3.886,10.174,6.569,29.973,329.742,359.64,11.359
coffee,tributum,P1,15.081,3.77,72.064,18.994,1.552,1.71,63.248,JT5L-404,5,6,full cone,4,T9,25.169,30.753,54.205,78.51,0.513,2.691,4.205,4.006,9.914,6.739,29.71,326.879,365.322,11.292
coffee,tributum,P1,15.065,3.751,71.779,19.026,1.548,1.71,63.576,JT5L-404,5,6,full cone,4,T9,24.412,29.341,55.976,83.051,0.503,2.299,3.832,4.087,10.104,6.705,30.217,325.489,374.524,11.092
coffee,tributum,P1,14.988,3.745,71.43,18.922,1.546,1.71,63.81,JT5L-404,5,6,full cone,4,T9,24.214,30.556,54.439,81.088,0.545,2.437,4.176,4.004,10.037,6.861,30.268,324.81,368.902,11.226
