plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.258,31.147,49.239,73.451,0.209,1.655,3.275,3.057,32.417,,3.53,4.244,49.404,233.832,244.894,9.564
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.376,31.438,46.941,70.056,0.198,1.517,3.398,2.889,29.863,,3.469,4.174,48.016,234.994,250.499,9.613
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.989,31.594,46.508,71.496,0.193,1.671,3.563,3.029,31.259,,3.519,4.084,48.022,241.512,247.927,9.692
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.772,29.929,47.111,71.143,0.208,1.703,3.724,2.899,30.037,,3.501,4.167,47.519,243.566,253.466,9.473
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.713,31.136,48.87,73.201,0.19,1.664,3.291,2.869,29.189,,3.482,4.242,48.12,236.761,243.43,9.586
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.177,30.23,49.326,72.594,0.196,1.495,3.271,2.954,31.725,,3.524,4.205,48.152,232.353,246.628,9.453
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.77,30.802,48.753,71.911,0.205,1.551,3.778,3.277,30.252,,3.421,4.278,48.615,236.504,248.606,9.518
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,30.0,,4.1,4.4,50.5,240.2,248.1,8.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.491,30.448,46.513,69.232,0.208,1.531,4.819,3.06,31.066,,4.152,4.398,50.806,237.624,253.122,9.033
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.298,30.596,48.71,70.756,0.189,1.594,5.13,3.053,27.895,,4.156,4.493,49.62,241.548,249.115,8.916
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.698,31.737,49.578,75.182,0.201,1.624,4.918,2.909,31.885,,4.164,4.339,51.717,237.599,250.439,8.806
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.715,30.626,47.865,71.481,0.189,1.637,4.962,3.006,28.208,,4.038,4.374,49.582,242.157,244.839,8.926
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.176,31.038,47.553,71.479,0.207,1.686,5.109,3.135,31.87,,4.168,4.435,49.608,238.559,242.529,8.735
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.822,31.659,47.497,73.183,0.188,1.487,4.924,2.855,29.786,,4.051,4.365,49.894,238.708,250.076,8.739
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.76,32.305,47.954,70.974,0.196,1.708,5.053,3.218,28.976,,4.146,4.399,50.934,241.142,243.049,8.905
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.854,30.963,48.478,73.201,0.202,1.575,4.662,3.231,30.53,,4.112,4.398,50.053,233.47,250.298,8.782
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.099,31.43,47.297,70.792,0.195,1.487,4.655,3.126,29.348,,4.022,4.354,50.964,242.564,251.61,8.849
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,60.0,,8.2,8.9,58.1,274.1,280.1,14.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.224,31.387,48.288,71.532,0.192,1.574,2.002,3.113,63.251,,8.058,8.948,56.612,270.803,274.69,14.881
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.078,30.177,48.582,70.365,0.206,1.638,2.088,3.007,60.54,,8.026,8.76,57.493,272.863,280.092,15.03
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.066,30.993,48.662,69.602,0.2,1.556,2.101,3.018,60.984,,8.246,9.056,58.964,273.601,279.869,14.952
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.862,29.608,48.054,70.855,0.201,1.631,1.85,3.037,57.141,,8.266,9.13,58.449,270.481,283.471,14.964
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.842,31.859,46.436,73.456,0.205,1.618,2.004,3.183,61.425,,8.302,8.963,58.879,278.579,280.04,15.093
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.485,30.537,48.388,71.187,0.213,1.708,2.142,2.989,56.037,,8.3,8.864,58.766,274.102,280.613,14.611
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.891,29.795,49.221,70.022,0.191,1.482,1.973,3.203,60.183,,8.293,8.75,59.187,278.902,282.291,14.946
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.647,32.028,48.651,70.22,0.194,1.575,2.157,3.223,56.557,,8.111,9.017,58.069,270.545,285.421,14.666
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.237,29.87,47.078,70.565,0.212,1.539,2.008,2.982,65.227,,8.234,9.087,57.507,280.286,281.831,15.027
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,60.0,,7.2,8.7,61.0,266.8,273.5,12.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.438,31.543,46.989,69.602,0.183,1.659,3.683,3.088,63.825,,7.108,8.728,62.137,263.449,274.163,12.387
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.152,31.938,48.089,74.707,0.208,1.596,3.645,3.023,63.178,,7.038,8.635,60.397,272.673,276.156,12.37
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.069,30.099,46.464,69.125,0.195,1.503,3.64,3.065,55.255,,7.143,8.512,61.022,269.114,279.754,12.45
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.063,31.621,48.936,73.294,0.21,1.69,3.363,2.896,55.287,,7.103,8.69,59.664,269.705,278.86,12.304
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.894,30.612,48.457,71.714,0.19,1.463,3.574,2.785,57.865,,7.069,8.512,61.259,270.205,272.221,12.473
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.267,30.152,49.474,71.751,0.187,1.585,3.521,2.89,60.619,,7.153,8.838,60.843,268.355,279.273,12.593
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.813,31.561,49.398,73.79,0.194,1.714,3.651,3.045,56.929,,7.342,8.732,60.695,265.724,275.956,12.733
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.721,31.839,48.965,69.813,0.213,1.626,3.325,3.033,57.604,,7.144,8.569,60.294,267.402,276.638,12.763
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.361,29.785,49.587,71.556,0.197,1.551,3.425,2.995,57.285,,7.178,8.727,60.986,268.945,276.248,12.34
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,60.0,,7.1,8.1,48.1,262.6,269.2,9.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.992,31.73,46.648,70.629,0.198,1.611,5.126,3.064,63.228,,7.142,8.256,47.408,263.95,269.035,9.816
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.516,30.094,45.978,69.615,0.213,1.5,4.727,3.026,62.243,,7.052,8.111,49.032,260.957,266.73,9.807
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.136,32.045,47.374,70.901,0.208,1.533,4.691,2.846,59.306,,6.989,8.016,47.796,264.738,268.816,9.766
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.508,32.049,47.897,71.087,0.2,1.571,5.203,3.123,60.844,,7.178,8.064,48.157,259.34,263.954,9.812
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.317,30.289,49.775,72.935,0.196,1.629,5.236,3.177,57.646,,7.155,8.106,47.514,260.558,270.876,9.782
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.764,31.281,47.821,74.31,0.211,1.645,5.348,3.125,57.044,,7.119,8.122,47.928,261.146,264.617,9.893
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.338,31.349,47.402,73.513,0.204,1.597,4.812,2.935,57.908,,7.184,8.21,49.205,260.636,270.274,9.948
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.515,30.021,47.109,70.435,0.2,1.588,4.979,2.949,63.416,,7.113,7.919,47.93,263.615,268.711,9.863
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.395,31.28,47.017,72.765,0.193,1.643,4.731,3.125,56.131,,7.228,8.157,48.158,265.066,270.657,9.879
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,90.0,,12.9,15.2,39.1,277.1,293.4,14.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.039,31.283,47.219,70.64,0.19,1.651,1.833,3.025,92.607,,13.155,15.284,38.538,279.9,289.942,14.874
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.389,31.507,46.569,70.808,0.204,1.588,1.865,2.929,85.156,,13.168,15.024,39.044,278.252,296.835,15.064
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.959,31.155,47.271,70.328,0.204,1.547,1.943,3.11,96.156,,12.656,15.114,39.706,275.55,286.964,14.676
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.949,30.705,48.083,72.86,0.209,1.675,1.962,2.976,88.737,,13.079,15.099,38.337,275.533,298.982,15.012
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.502,31.624,46.985,72.89,0.182,1.561,1.978,2.856,86.623,,12.76,15.095,38.866,270.444,289.841,14.721
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.143,31.166,48.022,72.569,0.214,1.616,2.071,2.971,82.679,,12.924,15.25,39.908,274.071,296.663,14.854
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.501,30.894,48.95,68.964,0.189,1.639,2.009,3.134,96.173,,12.757,15.408,38.606,275.775,293.463,15.243
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.714,30.265,48.605,73.74,0.207,1.508,2.096,3.089,95.608,,12.839,14.866,39.023,279.48,293.997,14.687
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.07,32.493,48.735,70.631,0.213,1.637,2.069,3.125,87.163,,12.767,14.954,38.747,276.966,299.693,14.963
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,90.0,,12.2,14.3,34.5,272.9,292.8,10.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.311,29.999,48.476,72.172,0.187,1.467,3.56,2.992,90.626,,12.127,14.203,34.828,271.102,299.947,10.758
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.512,31.77,47.148,72.038,0.198,1.516,3.511,2.854,89.932,,12.194,14.17,33.971,276.941,287.31,10.56
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.327,32.247,48.378,72.908,0.205,1.675,3.723,3.222,88.294,,12.096,14.62,34.29,271.758,295.5,10.822
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.917,30.862,46.603,70.547,0.21,1.542,3.57,3.072,87.722,,12.424,14.606,34.182,274.876,290.711,10.359
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.108,30.569,47.016,73.782,0.21,1.551,3.719,2.98,84.556,,12.01,14.194,34.173,275.021,287.214,10.573
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.935,31.71,46.847,70.222,0.185,1.625,3.6,2.861,92.548,,12.267,13.971,35.048,276.885,294.76,10.802
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.336,31.72,48.552,70.389,0.198,1.616,3.421,2.943,92.994,,12.194,14.362,34.305,265.985,291.229,10.837
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.727,30.565,47.645,69.975,0.201,1.68,3.556,2.918,83.784,,12.265,14.243,33.924,270.258,289.908,10.613
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.849,30.483,48.54,70.647,0.2,1.669,3.632,2.911,91.948,,12.018,14.235,34.014,271.906,292.803,10.725
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,90.0,,11.0,12.2,33.6,266.8,274.7,13.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,22.594,31.614,48.84,69.995,0.193,1.674,5.384,3.05,90.589,,10.839,11.969,34.105,269.487,271.957,13.413
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,23.51,31.706,46.98,73.23,0.19,1.509,4.942,3.067,95.055,,11.159,12.213,34.011,265.683,276.789,13.502
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,22.962,31.572,48.556,73.194,0.199,1.605,5.022,3.055,93.88,,11.02,12.254,32.854,259.998,268.523,13.465
